Månad,Dag,Timme,Årstimme,Meteonorm Lkp Utetemp (grad C),Meteonorm Lkp Utetemp heltal (grad C),SMHI Lkp 2015 Utetemp (grad C),SMHI Lkp 2015 Utetemp heltal (grad C),SMHI Lkp 2013 Utetemp (grad C),SMHI Lkp 2013 Utetemp heltal (grad C),SMHI Lkp 2010 Utetemp (grad C),SMHI Lkp 2010 Utetemp heltal (grad C)
6,27,4,4252,10, 10    , 11.40    , 11    ,13.1,13, 9.00    , 9    
6,27,5,4253,10.6, 11    , 12.20    , 12    ,13.2,13, 11.10    , 11    
6,27,6,4254,11.3, 11    , 12.70    , 13    ,13.6,14, 14.10    , 14    
6,27,7,4255,12.3, 12    , 14.20    , 14    ,14.2,14, 15.80    , 16    
6,27,8,4256,13.7, 14    , 15.40    , 15    ,14.9,15, 17.80    , 18    
6,27,9,4257,14.7, 15    , 17.00    , 17    ,15.6,16, 19.20    , 19    
6,27,10,4258,15.5, 16    , 17.60    , 18    ,16.3,16, 20.40    , 20    
6,27,11,4259,16.2, 16    , 17.90    , 18    ,16.4,16, 20.80    , 21    
6,27,12,4260,16.8, 17    , 18.40    , 18    ,17.4,17, 22.70    , 23    
6,27,13,4261,17.7, 18    , 18.90    , 19    ,17.8,18, 24.10    , 24    
6,27,14,4262,18.6, 19    , 19.60    , 20    ,15.6,16, 22.70    , 23    
6,27,15,4263,18.9, 19    , 20.10    , 20    ,15.6,16, 23.50    , 24    
6,27,16,4264,19.3, 19    , 20.30    , 20    ,16.3,16, 23.40    , 23    
6,27,17,4265,19.5, 20    , 20.40    , 20    ,16.5,17, 23.50    , 24    
6,27,18,4266,19.6, 20    , 20.10    , 20    ,14.2,14, 22.90    , 23    
6,27,19,4267,19.2, 19    , 19.70    , 20    ,14.6,15, 22.00    , 22    
6,27,20,4268,18.5, 19    , 19.10    , 19    ,14.5,15, 21.30    , 21    
6,27,21,4269,17.6, 18    , 16.00    , 16    ,14.1,14, 19.20    , 19    
6,27,22,4270,16.1, 16    , 13.00    , 13    ,13.9,14, 15.20    , 15    
6,27,23,4271,14.5, 15    , 11.20    , 11    ,13.4,13, 13.50    , 14    
6,27,24,4272,13, 13    , 10.30    , 10    ,12,12, 13.40    , 13    
6,28,1,4273,11.9, 12    , 9.60    , 10    ,10.5,11, 11.90    , 12    
6,28,2,4274,10.9, 11    , 9.60    , 10    ,10.6,11, 10.70    , 11    
6,28,3,4275,9.8, 10    , 8.50    , 9    ,10.8,11, 9.90    , 10    
6,28,4,4276,10.4, 10    , 8.70    , 9    ,9.4,9, 10.50    , 11    
6,28,5,4277,10.5, 11    , 10.80    , 11    ,9.7,10, 11.20    , 11    
6,28,6,4278,10.9, 11    , 13.60    , 14    ,11.8,12, 13.90    , 14    
6,28,7,4279,12, 12    , 15.90    , 16    ,13,13, 15.90    , 16    
6,28,8,4280,12.7, 13    , 17.60    , 18    ,14.3,14, 17.10    , 17    
6,28,9,4281,13.5, 14    , 18.90    , 19    ,15.2,15, 19.40    , 19    
6,28,10,4282,13.6, 14    , 19.90    , 20    ,16,16, 20.30    , 20    
6,28,11,4283,14.2, 14    , 20.30    , 20    ,17.3,17, 20.80    , 21    
6,28,12,4284,15.3, 15    , 20.70    , 21    ,17.7,18, 21.90    , 22    
6,28,13,4285,16.1, 16    , 19.40    , 19    ,17.9,18, 23.20    , 23    
6,28,14,4286,17.3, 17    , 20.80    , 21    ,19,19, 24.70    , 25    
6,28,15,4287,18.8, 19    , 21.90    , 22    ,18.6,19, 24.20    , 24    
6,28,16,4288,19.7, 20    , 21.30    , 21    ,18.5,19, 24.60    , 25    
6,28,17,4289,20, 20    , 20.90    , 21    ,17.5,18, 24.10    , 24    
6,28,18,4290,20, 20    , 20.00    , 20    ,17.2,17, 23.60    , 24    
6,28,19,4291,19.5, 20    , 18.40    , 18    ,17,17, 22.40    , 22    
6,28,20,4292,18.7, 19    , 17.60    , 18    ,15.9,16, 22.20    , 22    
6,28,21,4293,17.8, 18    , 15.90    , 16    ,15.1,15, 18.60    , 19    
6,28,22,4294,16.7, 17    , 14.10    , 14    ,14,14, 16.30    , 16    
6,28,23,4295,15.5, 16    , 13.20    , 13    ,13.1,13, 16.30    , 16    
6,28,24,4296,14.4, 14    , 11.10    , 11    ,11.7,12, 14.30    , 14    
6,29,1,4297,13.4, 13    , 10.60    , 11    ,11,11, 12.60    , 13    
6,29,2,4298,12.3, 12    , 10.90    , 11    ,9.3,9, 11.30    , 11    
6,29,3,4299,9.6, 10    , 10.60    , 11    ,9.3,9, 10.20    , 10    
6,29,4,4300,10.5, 11    , 12.10    , 12    ,9.1,9, 11.10    , 11    
6,29,5,4301,11.6, 12    , 13.00    , 13    ,10.2,10, 13.70    , 14    
6,29,6,4302,11.8, 12    , 13.70    , 14    ,12.2,12, 16.50    , 17    
6,29,7,4303,12.7, 13    , 14.10    , 14    ,14.6,15, 18.90    , 19    
6,29,8,4304,13.2, 13    , 14.20    , 14    ,15.4,15, 20.60    , 21    
6,29,9,4305,13.8, 14    , 15.60    , 16    ,15.5,16, 21.40    , 21    
6,29,10,4306,14.3, 14    , 15.90    , 16    ,15.7,16, 22.60    , 23    
6,29,11,4307,14.8, 15    , 16.00    , 16    ,15.6,16, 23.30    , 23    
6,29,12,4308,14.9, 15    , 16.40    , 16    ,15.7,16, 25.00    , 25    
6,29,13,4309,15.3, 15    , 16.60    , 17    ,17.6,18, 25.20    , 25    
6,29,14,4310,15.5, 16    , 17.60    , 18    ,16.8,17, 26.00    , 26    
6,29,15,4311,15.7, 16    , 17.80    , 18    ,17,17, 25.50    , 26    
6,29,16,4312,15.7, 16    , 17.60    , 18    ,13.9,14, 26.70    , 27    
6,29,17,4313,15.6, 16    , 16.80    , 17    ,14.6,15, 26.80    , 27    
6,29,18,4314,15.4, 15    , 17.10    , 17    ,14.4,14, 25.60    , 26    
6,29,19,4315,14.5, 15    , 17.30    , 17    ,13.9,14, 25.50    , 26    
6,29,20,4316,14.4, 14    , 17.00    , 17    ,13,13, 22.70    , 23    
6,29,21,4317,13.9, 14    , 15.80    , 16    ,12.3,12, 20.70    , 21    
6,29,22,4318,13.5, 14    , 14.70    , 15    ,11.5,12, 19.40    , 19    
6,29,23,4319,12.7, 13    , 12.70    , 13    ,9.8,10, 18.40    , 18    
6,29,24,4320,12.1, 12    , 12.30    , 12    ,8.9,9, 17.30    , 17    
6,30,1,4321,11.8, 12    , 12.40    , 12    ,8.8,9, 15.90    , 16    
6,30,2,4322,11.4, 11    , 11.70    , 12    ,7.6,8, 14.90    , 15    
